f0dp0	AAA43145	A/duck/33/1980	H3	1980	avian	gi|324086|gb|AAA43145| /Avian/HA/H3/4/Japan/1980/// hemagglutinin precursor [Influenza A virus (A/duck/33/1980(H3))]	1980/00/00/
f0dp24	AAF16454	A/Hong Kong/358/96	H3N2	1996	human	gi|6552648|gb|AAF16454| /Human/HA/H3N2/4/Hong Kong/1996/// hemagglutinin[Influenza A virus (A/Hong Kong/358/96(H3N2))]	1996/00/00/
f0dp25	AAF16495	A/Johannesburg/10/97	H3N2	1997	human	gi|6552689|gb|AAF16495| /Human/HA/H3N2/4/South Africa/1997/// hemagglutinin[Influenza A virus (A/Johannesburg/10/97(H3N2))]	1997/00/00/
f0dp26	AAK54149	A/Oslo/21/97 	H3N2	1997	human	gi|14133840|gb|AAK54149| /Human/HA/H3N2/4/Norway/1997/// hemagglutinin[Influenza A virus (A/Oslo/21/97 (H3N2))]	1997/00/00/
f0dp27	AAK54151	A/Oslo/244/97 	H3N2	1997	human	gi|14133846|gb|AAK54151| /Human/HA/H3N2/4/Norway/1997/// hemagglutinin[Influenza A virus (A/Oslo/244/97 (H3N2))]	1997/00/00/
f0dp28	AAT64666	A/Bilthoven/16398/68	H3N2	1968	human	gi|49338953|gb|AAT64666| /Human/HA/H3N2/4/Netherlands/1968/// hemagglutinin[Influenza A virus (A/Bilthoven/16398/68(H3N2))]	1968/00/00/
f0dp29	AAT64667	A/Bilthoven/908/69	H3N2	1969	human	gi|49338955|gb|AAT64667| /Human/HA/H3N2/4/Netherlands/1969/// hemagglutinin[Influenza A virus (A/Bilthoven/908/69(H3N2))]	1969/00/00/
f0dp30	AAT64668	A/Bilthoven/17938/69	H3N2	1969	human	gi|49338957|gb|AAT64668| /Human/HA/H3N2/4/Netherlands/1969/// hemagglutinin[Influenza A virus (A/Bilthoven/17938/69(H3N2))]	1969/00/00/
f0dp31	AAT64669	A/Bilthoven/93/70	H3N2	1970	human	gi|49338959|gb|AAT64669| /Human/HA/H3N2/4/Netherlands/1970/// hemagglutinin[Influenza A virus (A/Bilthoven/93/70(H3N2))]	1970/00/00/
f0dp32	AAT64670	A/Bilthoven/2668/70	H3N2	1970	human	gi|49338961|gb|AAT64670| /Human/HA/H3N2/4/Netherlands/1970/// hemagglutinin[Influenza A virus (A/Bilthoven/2668/70(H3N2))]	1970/00/00/
f0dp33	AAT64671	A/Bilthoven/6449/71	H3N2	1971	human	gi|49338963|gb|AAT64671| /Human/HA/H3N2/4/Netherlands/1971/// hemagglutinin[Influenza A virus (A/Bilthoven/6449/71(H3N2))]	1971/00/00/
f0dp34	AAT64672	A/Bilthoven/21438/71	H3N2	1971	human	gi|49338965|gb|AAT64672| /Human/HA/H3N2/4/Netherlands/1971/// hemagglutinin[Influenza A virus (A/Bilthoven/21438/71(H3N2))]	1971/00/00/
f0dp35	AAT64673	A/Bilthoven/21801/71	H3N2	1971	human	gi|49338967|gb|AAT64673| /Human/HA/H3N2/4/Netherlands/1971/// hemagglutinin[Influenza A virus (A/Bilthoven/21801/71(H3N2))]	1971/00/00/
f0dp36	AAT64674	A/Bilthoven/6022/72	H3N2	1972	human	gi|49338969|gb|AAT64674| /Human/HA/H3N2/4/Netherlands/1972/// hemagglutinin[Influenza A virus (A/Bilthoven/6022/72(H3N2))]	1972/00/00/
f0dp37	AAT64675	A/Bilthoven/23290/72	H3N2	1972	human	gi|49338971|gb|AAT64675| /Human/HA/H3N2/4/Netherlands/1972/// hemagglutinin[Influenza A virus (A/Bilthoven/23290/72(H3N2))]	1972/00/00/
f0dp38	AAT64676	A/Bilthoven/23337/72	H3N2	1972	human	gi|49338973|gb|AAT64676| /Human/HA/H3N2/4/Netherlands/1972/// hemagglutinin[Influenza A virus (A/Bilthoven/23337/72(H3N2))]	1972/00/00/
f0dp39	AAT64677	A/Bilthoven/552/73	H3N2	1973	human	gi|49338975|gb|AAT64677| /Human/HA/H3N2/4/Netherlands/1973/// hemagglutinin[Influenza A virus (A/Bilthoven/552/73(H3N2))]	1973/00/00/
f0dp40	AAT64678	A/Bilthoven/748/73	H3N2	1973	human	gi|49338977|gb|AAT64678| /Human/HA/H3N2/4/Netherlands/1973/// hemagglutinin[Influenza A virus (A/Bilthoven/748/73(H3N2))]	1973/00/00/
f0dp41	AAT64679	A/Bilthoven/3517/73	H3N2	1973	human	gi|49338979|gb|AAT64679| /Human/HA/H3N2/4/Netherlands/1973/// hemagglutinin[Influenza A virus (A/Bilthoven/3517/73(H3N2))]	1973/00/00/
f0dp42	AAT64680	A/Bilthoven/9459/74	H3N2	1974	human	gi|49338981|gb|AAT64680| /Human/HA/H3N2/4/Netherlands/1974/// hemagglutinin[Influenza A virus (A/Bilthoven/9459/74(H3N2))]	1974/00/00/
f0dp43	AAT64681	A/Bilthoven/1761/76	H3N2	1976	human	gi|49338983|gb|AAT64681| /Human/HA/H3N2/4/Netherlands/1976/// hemagglutinin[Influenza A virus (A/Bilthoven/1761/76(H3N2))]	1976/00/00/
f0dp44	AAT64682	A/Bilthoven/2271/76	H3N2	1976	human	gi|49338985|gb|AAT64682| /Human/HA/H3N2/4/Netherlands/1976/// hemagglutinin[Influenza A virus (A/Bilthoven/2271/76(H3N2))]	1976/00/00/
f0dp45	AAT64683	A/Bilthoven/5029/76	H3N2	1976	human	gi|49338987|gb|AAT64683| /Human/HA/H3N2/4/Netherlands/1976/// hemagglutinin[Influenza A virus (A/Bilthoven/5029/76(H3N2))]	1976/00/00/
f0dp46	AAT64684	A/Bilthoven/5657/76	H3N2	1976	human	gi|49338989|gb|AAT64684| /Human/HA/H3N2/4/Netherlands/1976/// hemagglutinin[Influenza A virus (A/Bilthoven/5657/76(H3N2))]	1976/00/00/
f0dp47	AAT64685	A/Bilthoven/6545/76	H3N2	1976	human	gi|49338991|gb|AAT64685| /Human/HA/H3N2/4/Netherlands/1976/// hemagglutinin[Influenza A virus (A/Bilthoven/6545/76(H3N2))]	1976/00/00/
f0dp48	AAT64686	A/Bilthoven/3895/77	H3N2	1977	human	gi|49338993|gb|AAT64686| /Human/HA/H3N2/4/Netherlands/1977/// hemagglutinin[Influenza A virus (A/Bilthoven/3895/77(H3N2))]	1977/00/00/
f0dp49	AAT64687	A/Rotterdam/5828/77	H3N2	1977	human	gi|49338995|gb|AAT64687| /Human/HA/H3N2/4/Netherlands/1977/// hemagglutinin[Influenza A virus (A/Rotterdam/5828/77(H3N2))]	1977/00/00/
f0dp50	AAT64688	A/Rotterdam/8179/77	H3N2	1977	human	gi|49338997|gb|AAT64688| /Human/HA/H3N2/4/Netherlands/1977/// hemagglutinin[Influenza A virus (A/Rotterdam/8179/77(H3N2))]	1977/00/00/
f0dp51	AAT64689	A/Bilthoven/4791/81	H3N2	1981	human	gi|49338999|gb|AAT64689| /Human/HA/H3N2/4/Netherlands/1981/// hemagglutinin[Influenza A virus (A/Bilthoven/4791/81(H3N2))]	1981/00/00/
f0dp52	AAT64690	A/Bilthoven/10684/82	H3N2	1982	human	gi|49339001|gb|AAT64690| /Human/HA/H3N2/4/Netherlands/1982/// hemagglutinin[Influenza A virus (A/Bilthoven/10684/82(H3N2))]	1982/00/00/
f0dp53	AAT64691	A/Oslo/13676/83	H3N2	1983	human	gi|49339003|gb|AAT64691| /Human/HA/H3N2/4/Norway/1983/// hemagglutinin[Influenza A virus (A/Oslo/13676/83(H3N2))]	1983/00/00/
f0dp54	AAT64692	A/Bilthoven/5931/74	H3N2	1974	human	gi|49339005|gb|AAT64692| /Human/HA/H3N2/4/Netherlands/1974/// hemagglutinin[Influenza A virus (A/Bilthoven/5931/74(H3N2))]	1974/00/00/
f0dp55	AAT64693	A/Bilthoven/5146/74	H3N2	1974	human	gi|49339007|gb|AAT64693| /Human/HA/H3N2/4/Netherlands/1974/// hemagglutinin[Influenza A virus (A/Bilthoven/5146/74(H3N2))]	1974/00/00/
f0dp56	AAT64694	A/Moscow/10/1999	H3N2	1999	human	gi|49339009|gb|AAT64694| /Human/HA/H3N2/4/Russia/1999/// hemagglutinin[Influenza A virus (A/Moscow/10/1999(H3N2))]	1999/00/00/
f0dp57	AAT64695	A/Netherlands/18/94	H3N2	1994	human	gi|49339011|gb|AAT64695| /Human/HA/H3N2/4/Netherlands/1994/// hemagglutinin[Influenza A virus (A/Netherlands/18/94(H3N2))]	1994/00/00/
f0dp58	AAT64696	A/Netherlands/3/00	H3N2	2000	human	gi|49339013|gb|AAT64696| /Human/HA/H3N2/4/Netherlands/2000/// hemagglutinin[Influenza A virus (A/Netherlands/3/00(H3N2))]	2000/00/00/
f0dp59	AAT64697	A/Netherlands/118/01	H3N2	2001	human	gi|49339015|gb|AAT64697| /Human/HA/H3N2/4/Netherlands/2001/// hemagglutinin[Influenza A virus (A/Netherlands/118/01(H3N2))]	2001/00/00/
f0dp60	AAT64698	A/Netherlands/124/01	H3N2	2001	human	gi|49339017|gb|AAT64698| /Human/HA/H3N2/4/Netherlands/2001/// hemagglutinin[Influenza A virus (A/Netherlands/124/01(H3N2))]	2001/00/00/
f0dp61	AAT64699	A/Netherlands/126/2001	H3N2	2001	human	gi|49339019|gb|AAT64699| /Human/HA/H3N2/4/Netherlands/2001/// hemagglutinin[Influenza A virus (A/Netherlands/126/2001(H3N2))]	2001/00/00/
f0dp62	AAT64700	A/Netherlands/233/82	H3N2	1982	human	gi|49339021|gb|AAT64700| /Human/HA/H3N2/4/Netherlands/1982/// hemagglutinin[Influenza A virus (A/Netherlands/233/82(H3N2))]	1982/00/00/
f0dp63	AAT64701	A/Netherlands/301/99	H3N2	1999	human	gi|49339023|gb|AAT64701| /Human/HA/H3N2/4/Netherlands/1999/// hemagglutinin[Influenza A virus (A/Netherlands/301/99(H3N2))]	1999/00/00/
f0dp64	AAT64702	A/Bilthoven/7398/74	H3N2	1974	human	gi|49339025|gb|AAT64702| /Human/HA/H3N2/4/Netherlands/1974/// hemagglutinin[Influenza A virus (A/Bilthoven/7398/74(H3N2))]	1974/00/00/
f0dp65	AAT64703	A/Bilthoven/2813/75	H3N2	1975	human	gi|49339027|gb|AAT64703| /Human/HA/H3N2/4/Netherlands/1975/// hemagglutinin[Influenza A virus (A/Bilthoven/2813/75(H3N2))]	1975/00/00/
f0dp66	AAT64704	A/Netherlands/738/89	H3N2	1989	human	gi|49339029|gb|AAT64704| /Human/HA/H3N2/4/Netherlands/1989/// hemagglutinin[Influenza A virus (A/Netherlands/738/89(H3N2))]	1989/00/00/
f0dp67	AAT64705	A/Netherlands/120/02	H3N2	2002	human	gi|49339031|gb|AAT64705| /Human/HA/H3N2/4/Netherlands/2002/// hemagglutinin[Influenza A virus (A/Netherlands/120/02(H3N2))]	2002/00/00/
f0dp68	AAT64706	A/Netherlands/1/02	H3N2	2002	human	gi|49339033|gb|AAT64706| /Human/HA/H3N2/4/Netherlands/2002/// hemagglutinin[Influenza A virus (A/Netherlands/1/02(H3N2))]	2002/00/00/
f0dp69	AAT64707	A/Finland/170/2003	H3N2	2003	human	gi|49339035|gb|AAT64707| /Human/HA/H3N2/4/Finland/2003/// hemagglutinin[Influenza A virus (A/Finland/170/2003(H3N2))]	2003/00/00/
f0dp70	AAT64708	A/Netherlands/20/2003	H3N2	2003	human	gi|49339037|gb|AAT64708| /Human/HA/H3N2/4/Netherlands/2003/// hemagglutinin[Influenza A virus (A/Netherlands/20/2003(H3N2))]	2003/00/00/
f0dp71	AAT64709	A/Netherlands/22/03	H3N2	2003	human	gi|49339039|gb|AAT64709| /Human/HA/H3N2/4/Netherlands/2003/// hemagglutinin[Influenza A virus (A/Netherlands/22/03(H3N2))]	2003/00/00/
f0dp72	AAT64710	A/Netherlands/213/2003	H3N2	2003	human	gi|49339041|gb|AAT64710| /Human/HA/H3N2/4/Netherlands/2003/// hemagglutinin[Influenza A virus (A/Netherlands/213/2003(H3N2))]	2003/00/00/
f0dp73	AAT64711	A/Netherlands/217/03	H3N2	2003	human	gi|49339043|gb|AAT64711| /Human/HA/H3N2/4/Netherlands/2003/// hemagglutinin[Influenza A virus (A/Netherlands/217/03(H3N2))]	2003/00/00/
f0dp74	AAT64712	A/Netherlands/222/03	H3N2	2003	human	gi|49339045|gb|AAT64712| /Human/HA/H3N2/4/Netherlands/2003/// hemagglutinin[Influenza A virus (A/Netherlands/222/03(H3N2))]	2003/00/00/
f0dp75	AAT64713	A/Bilthoven/15793/68	H3N2	1968	human	gi|49339047|gb|AAT64713| /Human/HA/H3N2/4/Netherlands/1968/// hemagglutinin[Influenza A virus (A/Bilthoven/15793/68(H3N2))]	1968/00/00/
f0dp76	AAT64714	A/Bilthoven/16190/68	H3N2	1968	human	gi|49339049|gb|AAT64714| /Human/HA/H3N2/4/Netherlands/1968/// hemagglutinin[Influenza A virus (A/Bilthoven/16190/68(H3N2))]	1968/00/00/
f0dp77	AAT64715	A/Bilthoven/808/69	H3N2	1969	human	gi|49339051|gb|AAT64715| /Human/HA/H3N2/4/Netherlands/1969/// hemagglutinin[Influenza A virus (A/Bilthoven/808/69(H3N2))]	1969/00/00/
f0dp78	AAT64716	A/Bilthoven/21793/72	H3N2	1972	human	gi|49339053|gb|AAT64716| /Human/HA/H3N2/4/Netherlands/1972/// hemagglutinin[Influenza A virus (A/Bilthoven/21793/72(H3N2))]	1972/00/00/
f0dp79	AAT64717	A/Bilthoven/5930/74	H3N2	1974	human	gi|49339055|gb|AAT64717| /Human/HA/H3N2/4/Netherlands/1974/// hemagglutinin[Influenza A virus (A/Bilthoven/5930/74(H3N2))]	1974/00/00/
f0dp80	AAT64718	A/Bilthoven/2600/75	H3N2	1975	human	gi|49339057|gb|AAT64718| /Human/HA/H3N2/4/Netherlands/1975/// hemagglutinin[Influenza A virus (A/Bilthoven/2600/75(H3N2))]	1975/00/00/
f0dp81	AAT64719	A/Bilthoven/628/76	H3N2	1976	human	gi|49339059|gb|AAT64719| /Human/HA/H3N2/4/Netherlands/1976/// hemagglutinin[Influenza A virus (A/Bilthoven/628/76(H3N2))]	1976/00/00/
f0dp82	AAT64720	A/Amsterdam/1609/77	H3N2	1977	human	gi|49339061|gb|AAT64720| /Human/HA/H3N2/4/Netherlands/1977/// hemagglutinin[Influenza A virus (A/Amsterdam/1609/77(H3N2))]	1977/00/00/
f0dp83	AAT64721	A/Rotterdam/577/80	H3N2	1980	human	gi|49339063|gb|AAT64721| /Human/HA/H3N2/4/Netherlands/1980/// hemagglutinin[Influenza A virus (A/Rotterdam/577/80(H3N2))]	1980/00/00/
f0dp84	AAT64722	A/Netherlands/209/80	H3N2	1980	human	gi|49339065|gb|AAT64722| /Human/HA/H3N2/4/Netherlands/1980/// hemagglutinin[Influenza A virus (A/Netherlands/209/80(H3N2))]	1980/00/00/
f0dp85	AAT64723	A/Netherlands/241/82	H3N2	1982	human	gi|49339067|gb|AAT64723| /Human/HA/H3N2/4/Netherlands/1982/// hemagglutinin[Influenza A virus (A/Netherlands/241/82(H3N2))]	1982/00/00/
f0dp86	AAT64724	A/Netherlands/330/85	H3N2	1985	human	gi|49339069|gb|AAT64724| /Human/HA/H3N2/4/Netherlands/1985/// hemagglutinin[Influenza A virus (A/Netherlands/330/85(H3N2))]	1985/00/00/
f0dp87	AAT64725	A/Wellington/4/85	H3N2	1985	human	gi|49339071|gb|AAT64725| /Human/HA/H3N2/4/New Zealand/1985/// hemagglutinin[Influenza A virus (A/Wellington/4/85(H3N2))]	1985/00/00/
f0dp88	AAT64726	A/Guildford/V728/85	H3N2	1985	human	gi|49339073|gb|AAT64726| /Human/HA/H3N2/4/United Kingdom/1985/// hemagglutinin[Influenza A virus (A/Guildford/V728/85(H3N2))]	1985/00/00/
f0dp89	AAT64727	A/Stockholm/10/85	H3N2	1985	human	gi|49339075|gb|AAT64727| /Human/HA/H3N2/4/Sweden/1985/// hemagglutinin[Influenza A virus (A/Stockholm/10/85(H3N2))]	1985/00/00/
f0dp90	AAT64728	A/Colorado/2/86	H3N2	1986	human	gi|49339077|gb|AAT64728| /Human/HA/H3N2/4/USA/1986/// hemagglutinin[Influenza A virus (A/Colorado/2/86(H3N2))]	1986/00/00/
f0dp91	AAT64729	A/Netherlands/450/88	H3N2	1988	human	gi|49339079|gb|AAT64729| /Human/HA/H3N2/4/Netherlands/1988/// hemagglutinin[Influenza A virus (A/Netherlands/450/88(H3N2))]	1988/00/00/
f0dp92	AAT64730	A/England/427/1988	H3N2	1988	human	gi|49339081|gb|AAT64730| /Human/HA/H3N2/4/United Kingdom/1988/// hemagglutinin[Influenza A virus (A/England/427/1988(H3N2))]	1988/00/00/
f0dp93	AAT64731	A/Stockholm/12/88	H3N2	1988	human	gi|49339083|gb|AAT64731| /Human/HA/H3N2/4/Sweden/1988/// hemagglutinin[Influenza A virus (A/Stockholm/12/88(H3N2))]	1988/00/00/
f0dp94	AAT64732	A/Geneva/5007/89	H3N2	1989	human	gi|49339085|gb|AAT64732| /Human/HA/H3N2/4/Switzerland/1989/// hemagglutinin[Influenza A virus (A/Geneva/5007/89(H3N2))]	1989/00/00/
f0dp95	AAT64733	A/Wellington/5/89	H3N2	1989	human	gi|49339087|gb|AAT64733| /Human/HA/H3N2/4/New Zealand/1989/// hemagglutinin[Influenza A virus (A/Wellington/5/89(H3N2))]	1989/00/00/
f0dp96	AAT64734	A/Hong Kong/1/1989	H3N2	1989	human	gi|49339089|gb|AAT64734| /Human/HA/H3N2/4/Hong Kong/1989/// hemagglutinin[Influenza A virus (A/Hong Kong/1/1989(H3N2))]	1989/00/00/
f0dp97	AAT64735	A/Singapore/34/89	H3N2	1989	human	gi|49339091|gb|AAT64735| /Human/HA/H3N2/4/Singapore/1989/// hemagglutinin[Influenza A virus (A/Singapore/34/89(H3N2))]	1989/00/00/
f0dp98	AAT64736	A/Singapore/35/89	H3N2	1989	human	gi|49339093|gb|AAT64736| /Human/HA/H3N2/4/Singapore/1989/// hemagglutinin[Influenza A virus (A/Singapore/35/89(H3N2))]	1989/00/00/
f0dp99	AAT64737	A/Singapore/36/89	H3N2	1989	human	gi|49339095|gb|AAT64737| /Human/HA/H3N2/4/Singapore/1989/// hemagglutinin[Influenza A virus (A/Singapore/36/89(H3N2))]	1989/00/00/
f0dp100	AAT64738	A/Singapore/40/89	H3N2	1989	human	gi|49339097|gb|AAT64738| /Human/HA/H3N2/4/Singapore/1989/// hemagglutinin[Influenza A virus (A/Singapore/40/89(H3N2))]	1989/00/00/
f0dp101	AAT64739	A/Singapore/53/89	H3N2	1989	human	gi|49339099|gb|AAT64739| /Human/HA/H3N2/4/Singapore/1989/// hemagglutinin[Influenza A virus (A/Singapore/53/89(H3N2))]	1989/00/00/
f0dp102	AAT64740	A/Victoria/1/89	H3N2	1989	human	gi|49339101|gb|AAT64740| /Human/HA/H3N2/4/Australia/1989/// hemagglutinin[Influenza A virus (A/Victoria/1/89(H3N2))]	1989/00/00/
f0dp103	AAT64741	A/Beijing/353/1989	H3N2	1989	human	gi|49339103|gb|AAT64741| /Human/HA/H3N2/4/China/1989/// hemagglutinin[Influenza A virus (A/Beijing/353/1989(H3N2))]	1989/00/00/
f0dp104	AAT64742	A/Netherlands/620/89 	H3N2	1989	human	gi|49339105|gb|AAT64742| /Human/HA/H3N2/4/Netherlands/1989/// hemagglutinin[Influenza A virus (A/Netherlands/620/89 (H3N2))]	1989/00/00/
f0dp105	AAT64743	A/Netherlands/650/89 	H3N2	1989	human	gi|49339107|gb|AAT64743| /Human/HA/H3N2/4/Netherlands/1989/// hemagglutinin[Influenza A virus (A/Netherlands/650/89 (H3N2))]	1989/00/00/
f0dp106	AAT64744	A/Memphis/2/1990	H3N2	1990	human	gi|49339109|gb|AAT64744| /Human/HA/H3N2/4/USA/1990/// hemagglutinin[Influenza A virus (A/Memphis/2/1990(H3N2))]	1990/00/00/
f0dp107	AAT64745	A/Memphis/5/1990	H3N2	1990	human	gi|49339111|gb|AAT64745| /Human/HA/H3N2/4/USA/1990/// hemagglutinin[Influenza A virus (A/Memphis/5/1990(H3N2))]	1990/00/00/
f0dp108	AAT64746	A/Atlanta/211/1989	H3N2	1989	human	gi|49339113|gb|AAT64746| /Human/HA/H3N2/4/USA/1989/// hemagglutinin[Influenza A virus (A/Atlanta/211/1989(H3N2))]	1989/00/00/
f0dp109	AAT64747	A/Seoul/1/90	H3N2	1990	human	gi|49339115|gb|AAT64747| /Human/HA/H3N2/4/South Korea/1990/// hemagglutinin[Influenza A virus (A/Seoul/1/90(H3N2))]	1990/00/00/
f0dp110	AAT64748	A/Victoria/2/90	H3N2	1990	human	gi|49339117|gb|AAT64748| /Human/HA/H3N2/4/Australia/1990/// hemagglutinin[Influenza A virus (A/Victoria/2/90(H3N2))]	1990/00/00/
f0dp111	AAT64749	A/Shanghai/24/1990	H3N2	1990	human	gi|49339119|gb|AAT64749| /Human/HA/H3N2/4/China/1990/// hemagglutinin[Influenza A virus (A/Shanghai/24/1990(H3N2))]	1990/00/00/
f0dp112	AAT64750	A/England/260/91	H3N2	1991	human	gi|49339121|gb|AAT64750| /Human/HA/H3N2/4/United Kingdom/1991/// hemagglutinin[Influenza A virus (A/England/260/91(H3N2))]	1991/00/00/
f0dp113	AAT64751	A/Canberra/1/91	H3N2	1991	human	gi|49339123|gb|AAT64751| /Human/HA/H3N2/4/Australia/1991/// hemagglutinin[Influenza A virus (A/Canberra/1/91(H3N2))]	1991/00/00/
f0dp114	AAT64752	A/Geneva/6447/91	H3N2	1991	human	gi|49339125|gb|AAT64752| /Human/HA/H3N2/4/Switzerland/1991/// hemagglutinin[Influenza A virus (A/Geneva/6447/91(H3N2))]	1991/00/00/
f0dp115	AAT64753	A/Netherlands/816/91	H3N2	1991	human	gi|49339127|gb|AAT64753| /Human/HA/H3N2/4/Netherlands/1991/// hemagglutinin[Influenza A virus (A/Netherlands/816/91(H3N2))]	1991/00/00/
f0dp116	AAT64754	A/Madrid/G12/91	H3N2	1991	human	gi|49339129|gb|AAT64754| /Human/HA/H3N2/4/Spain/1991/// hemagglutinin[Influenza A virus (A/Madrid/G12/91(H3N2))]	1991/00/00/
f0dp117	AAT64755	A/Netherlands/819/92	H3N2	1992	human	gi|49339131|gb|AAT64755| /Human/HA/H3N2/4/Netherlands/1992/// hemagglutinin[Influenza A virus (A/Netherlands/819/92(H3N2))]	1992/00/00/
