pos	leaf_nonsyn	tree_nonsyn	leaf_syn	tree_syn 	ratio
94	1	1	0	0 	0.0
95	0	0	0	0 	0.0
96	3	1	1	2 	1.33333333333
97	0	0	1	0 	0.0
98	0	0	0	0 	0.0
99	0	0	0	0 	0.0
100	0	0	0	0 	0.0
101	1	0	1	0 	1.0
102	0	0	6	0 	0.0
103	2	0	2	2 	0.5
104	0	0	1	0 	0.0
105	0	0	2	0 	0.0
106	0	2	3	1 	0.5
107	0	0	0	0 	0.0
108	0	0	1	0 	0.0
109	0	0	3	0 	0.0
110	0	0	2	1 	0.0
111	0	0	2	0 	0.0
112	4	0	0	0 	0.0
113	0	0	2	0 	0.0
114	1	0	2	2 	0.25
115	1	0	3	2 	0.2
116	0	0	2	0 	0.0
117	0	0	0	4 	0.0
118	0	0	0	0 	0.0
119	0	0	1	2 	0.0
120	0	0	0	0 	0.0
121	4	6	1	0 	10.0
122	1	3	2	1 	1.33333333333
123	0	0	0	1 	0.0
124	3	5	1	1 	4.0
125	0	0	0	0 	0.0
126	0	1	0	0 	0.0
127	0	0	0	0 	0.0
128	2	0	1	0 	2.0
129	1	0	2	1 	0.333333333333
130	0	0	1	1 	0.0
131	1	2	0	1 	3.0
132	1	0	2	0 	0.5
133	4	5	0	0 	0.0
134	0	0	1	1 	0.0
135	3	8	0	0 	0.0
136	0	0	0	0 	0.0
137	3	3	0	0 	0.0
138	8	1	1	0 	9.0
139	1	0	3	0 	0.333333333333
140	1	0	0	0 	0.0
141	0	0	3	2 	0.0
142	3	1	1	0 	4.0
143	0	2	1	0 	2.0
144	5	5	0	1 	10.0
145	11	8	1	0 	19.0
146	2	1	0	0 	0.0
147	0	0	2	1 	0.0
148	1	0	2	1 	0.333333333333
149	0	0	0	0 	0.0
150	0	0	1	0 	0.0
151	1	0	1	1 	0.5
152	0	0	1	2 	0.0
153	0	0	0	0 	0.0
154	0	0	4	1 	0.0
155	0	5	1	0 	5.0
156	3	6	2	1 	3.0
157	2	1	1	0 	3.0
158	3	4	1	0 	7.0
159	3	4	0	0 	0.0
160	2	1	0	0 	0.0
161	0	0	1	2 	0.0
162	0	0	0	0 	0.0
163	1	1	1	2 	0.666666666667
164	0	1	1	1 	0.5
165	1	0	2	1 	0.333333333333
166	0	0	0	1 	0.0
167	3	0	0	2 	1.5
168	0	0	0	0 	0.0
169	1	0	1	0 	1.0
170	0	0	0	0 	0.0
171	1	0	1	0 	1.0
172	0	4	0	0 	0.0
173	1	1	1	1 	1.0
174	0	2	1	0 	2.0
175	1	0	0	0 	0.0
176	1	0	2	1 	0.333333333333
177	0	0	3	2 	0.0
178	0	0	0	0 	0.0
179	0	0	0	0 	0.0
180	0	0	0	0 	0.0
181	0	0	1	0 	0.0
182	1	0	2	0 	0.5
183	1	0	0	1 	1.0
184	0	0	1	0 	0.0
185	0	0	6	0 	0.0
186	3	4	0	1 	7.0
187	0	0	5	1 	0.0
188	3	4	1	0 	7.0
189	0	3	0	0 	0.0
190	3	1	0	0 	0.0
191	0	0	1	0 	0.0
192	2	1	0	0 	0.0
193	4	4	0	0 	0.0
194	2	0	2	1 	0.666666666667
195	0	0	0	0 	0.0
196	3	3	0	2 	3.0
197	1	2	2	1 	1.0
198	4	0	1	0 	4.0
199	4	0	0	0 	0.0
200	0	0	0	1 	0.0
201	4	2	0	0 	0.0
202	0	1	0	0 	0.0
203	1	0	1	0 	1.0
204	1	0	1	0 	1.0
205	1	0	3	6 	0.111111111111
206	0	0	1	0 	0.0
207	2	2	1	1 	2.0
208	2	1	0	0 	0.0
209	2	1	0	1 	3.0
210	0	0	0	1 	0.0
211	0	0	2	0 	0.0
212	0	0	1	0 	0.0
213	3	3	1	1 	3.0
214	1	2	1	0 	3.0
215	0	0	0	1 	0.0
216	1	1	2	0 	1.0
217	0	2	1	1 	1.0
218	0	0	6	1 	0.0
219	4	3	1	3 	1.75
220	0	1	0	0 	0.0
221	0	0	0	2 	0.0
222	0	1	0	0 	0.0
223	0	0	1	3 	0.0
224	0	0	2	1 	0.0
225	0	1	4	2 	0.166666666667
226	16	5	3	1 	5.25
227	0	1	3	1 	0.25
228	1	0	2	2 	0.25
229	6	0	0	0 	0.0
230	0	1	0	0 	0.0
231	1	0	0	3 	0.333333333333
232	0	0	0	0 	0.0
233	1	1	0	0 	0.0
234	0	0	0	0 	0.0
235	1	0	0	0 	0.0
236	2	0	0	0 	0.0
237	0	0	2	2 	0.0
238	0	0	0	2 	0.0
239	0	0	0	3 	0.0
240	0	0	4	1 	0.0
241	0	0	1	0 	0.0
242	0	1	0	0 	0.0
243	0	0	1	1 	0.0
244	1	2	0	3 	1.0
245	0	0	2	0 	0.0
246	3	0	1	2 	1.0
247	2	0	2	1 	0.666666666667
248	3	1	2	2 	1.0
249	0	0	3	2 	0.0
250	0	0	0	2 	0.0
251	0	0	1	0 	0.0
252	0	0	1	1 	0.0
253	0	0	2	0 	0.0
254	0	0	1	1 	0.0
255	0	0	3	1 	0.0
256	0	0	1	0 	0.0
257	0	0	0	1 	0.0
258	0	0	2	0 	0.0
259	1	0	1	0 	1.0
260	0	2	0	0 	0.0
261	3	0	2	1 	1.0
262	3	3	0	0 	0.0
263	0	0	2	1 	0.0
264	1	0	0	0 	0.0
265	0	0	1	0 	0.0
266	0	0	0	1 	0.0
267	2	0	1	0 	2.0
268	2	0	0	0 	0.0
269	1	0	0	2 	0.5
270	0	0	1	1 	0.0
271	1	0	0	0 	0.0
272	0	1	0	0 	0.0
273	2	1	4	1 	0.6
274	0	0	0	0 	0.0
275	2	4	1	1 	3.0
276	2	2	0	0 	0.0
277	0	0	0	1 	0.0
278	5	2	1	1 	3.5
279	1	0	0	0 	0.0
280	1	0	0	0 	0.0
281	0	0	0	0 	0.0
282	0	0	2	0 	0.0
283	0	0	0	1 	0.0
284	0	0	0	0 	0.0
285	1	0	0	1 	1.0
286	0	0	2	0 	0.0
287	0	0	0	0 	0.0
288	0	0	0	1 	0.0
289	0	2	0	0 	0.0
290	0	0	0	0 	0.0
291	4	0	1	0 	4.0
292	1	0	1	1 	0.5
293	0	0	1	2 	0.0
294	0	0	0	0 	0.0
295	0	0	0	0 	0.0
296	0	0	1	4 	0.0
297	0	0	0	0 	0.0
298	0	0	0	0 	0.0
299	1	1	2	0 	1.0
300	0	0	2	0 	0.0
301	0	0	0	2 	0.0
302	0	0	0	0 	0.0
303	0	0	1	1 	0.0
304	2	0	0	1 	2.0
305	0	0	0	4 	0.0
306	0	0	1	1 	0.0
307	0	1	3	1 	0.25
308	0	0	0	1 	0.0
309	2	0	0	1 	2.0
310	1	0	1	0 	1.0
311	0	0	0	0 	0.0
312	2	0	1	0 	2.0
313	1	0	4	1 	0.2
314	0	0	1	2 	0.0
315	0	0	1	3 	0.0
316	0	0	0	0 	0.0
317	0	0	1	0 	0.0
318	0	0	0	0 	0.0
319	0	0	2	3 	0.0
320	0	0	0	0 	0.0
321	0	0	2	2 	0.0
322	0	0	0	0 	0.0
323	1	0	2	2 	0.25
324	0	0	2	0 	0.0
325	2	0	1	1 	1.0
326	1	0	0	0 	0.0
327	0	0	1	0 	0.0
328	0	0	1	0 	0.0
